target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
HIF1A,low_plausibility,ipin_optimized,P_vs_U_concordance,0.9533333333333334,0.7622222222222222,0.19111111111111112,0.015925925925925927
CTNNB1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.7088888888888889,0.7844444444444445,-0.0755555555555556,-0.0062962962962963
TNFRSF1A,low_plausibility,ipin_optimized,P_vs_U_concordance,0.98,0.8911111111111111,0.0888888888888889,0.0074074074074074086
BECN1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8111111111111111,0.8377777777777777,-0.026666666666666616,-0.002222222222222218
ERN1,low_plausibility,ipin_optimized,average_precision,0.5798611111111112,0.06606522307928989,0.5137958880318213,0.04281632400265178
TP53,low_plausibility,ipin_optimized,average_precision,0.7777777777777777,0.03580105601299708,0.7419767217647806,0.06183139348039838
EGFR,low_plausibility,ipin_optimized,average_precision,1.0,0.03972376829519686,0.9602762317048031,0.0800230193087336
BCL2,low_plausibility,ipin_optimized,average_precision,0.07476896625832795,0.5888888888888888,-0.5141199226305608,-0.04284332688588007
KEAP1,low_plausibility,ipin_optimized,average_precision,0.3711229946524064,0.3663082437275985,0.004814750924807876,0.00040122924373398966
BRCA1,low_plausibility,ipin_optimized,average_precision,1.0,0.5555555555555555,0.44444444444444453,0.03703703703703704
KRAS,low_plausibility,ipin_optimized,average_precision,0.09120370370370369,0.9166666666666666,-0.825462962962963,-0.06878858024691357
CDK2,low_plausibility,ipin_optimized,average_precision,0.11243386243386243,0.75,-0.6375661375661376,-0.053130511463844794
HIF1A,low_plausibility,ipin_optimized,average_precision,0.5142857142857142,0.3854166666666667,0.12886904761904755,0.010739087301587296
CTNNB1,low_plausibility,ipin_optimized,average_precision,0.05394938101373599,0.06401249024199843,-0.010063109228262437,-0.0008385924356885364
TNFRSF1A,low_plausibility,ipin_optimized,average_precision,0.4444444444444444,0.4296296296296296,0.014814814814814836,0.0012345679012345696
BECN1,low_plausibility,ipin_optimized,average_precision,0.678030303030303,0.5688888888888889,0.1091414141414141,0.009095117845117842
ERN1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.985,0.85375,0.13124999999999998,0.010937499999999998
TP53,low_plausibility,tuna_retrained,P_vs_U_concordance,0.9866666666666667,0.9555555555555556,0.03111111111111109,0.002592592592592591
EGFR,low_plausibility,tuna_retrained,P_vs_U_concordance,1.0,0.7933333333333333,0.20666666666666667,0.017222222222222222
BCL2,low_plausibility,tuna_retrained,P_vs_U_concordance,0.5644444444444444,0.7977777777777778,-0.2333333333333334,-0.019444444444444448
KEAP1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8133333333333334,0.48,0.33333333333333337,0.02777777777777778
BRCA1,low_plausibility,tuna_retrained,P_vs_U_concordance,1.0,0.9911111111111112,0.008888888888888835,0.0007407407407407363
KRAS,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8422222222222222,0.9977777777777778,-0.15555555555555556,-0.012962962962962963
CDK2,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8844444444444445,0.98,-0.0955555555555555,-0.007962962962962958
