omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
BECN1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8834848484848485,0.8460984848484848,0.03738636363636363,11
ERN1,low_plausibility,tuna_retrained,average_precision,0.46527428614547967,0.3705230250107594,0.09475126113472027,11
TP53,low_plausibility,tuna_retrained,average_precision,0.44728186190305536,0.3785834943775695,0.06869836752548591,11
EGFR,low_plausibility,tuna_retrained,average_precision,0.42707984170103513,0.3940392946159784,0.03304054708505677,11
BCL2,low_plausibility,tuna_retrained,average_precision,0.511191753859369,0.3946060386609833,0.11658571519838566,11
KEAP1,low_plausibility,tuna_retrained,average_precision,0.4842504785508164,0.4000837490553943,0.08416672949542219,11
BRCA1,low_plausibility,tuna_retrained,average_precision,0.42707984170103513,0.34878551457958973,0.0782943271214455,11
KRAS,low_plausibility,tuna_retrained,average_precision,0.5096976868188803,0.31898753478160985,0.1907101520372704,11
CDK2,low_plausibility,tuna_retrained,average_precision,0.5077676723888659,0.3640813298754049,0.14368634251346088,11
HIF1A,low_plausibility,tuna_retrained,average_precision,0.4712356858568793,0.3645935953876705,0.10664209046920886,11
CTNNB1,low_plausibility,tuna_retrained,average_precision,0.5130844434270592,0.38351462385415347,0.12956981957290567,11
TNFRSF1A,low_plausibility,tuna_retrained,average_precision,0.47758489220608563,0.3674595429993808,0.11012534920670487,11
BECN1,low_plausibility,tuna_retrained,average_precision,0.45634981415282583,0.34027180606588114,0.11607800808694466,11
ERN1,context_background,ipin_baseline,P_vs_U_concordance,0.7718181818181818,0.7018181818181819,0.06999999999999999,11
TP53,context_background,ipin_baseline,P_vs_U_concordance,0.7611237373737374,0.698131313131313,0.06299242424242422,11
EGFR,context_background,ipin_baseline,P_vs_U_concordance,0.7466792929292929,0.6871212121212121,0.0595580808080808,11
BCL2,context_background,ipin_baseline,P_vs_U_concordance,0.7684974747474748,0.6577272727272727,0.11077020202020202,11
KEAP1,context_background,ipin_baseline,P_vs_U_concordance,0.7732449494949495,0.6925757575757575,0.08066919191919189,11
BRCA1,context_background,ipin_baseline,P_vs_U_concordance,0.7509217171717172,0.6830808080808081,0.06784090909090908,11
KRAS,context_background,ipin_baseline,P_vs_U_concordance,0.7519318181818182,0.6821717171717171,0.06976010101010101,11
CDK2,context_background,ipin_baseline,P_vs_U_concordance,0.7872853535353536,0.6832828282828283,0.10400252525252524,11
HIF1A,context_background,ipin_baseline,P_vs_U_concordance,0.7742550505050505,0.6786363636363636,0.09561868686868688,11
CTNNB1,context_background,ipin_baseline,P_vs_U_concordance,0.77375,0.6644949494949496,0.10925505050505051,11
TNFRSF1A,context_background,ipin_baseline,P_vs_U_concordance,0.7862752525252525,0.6895454545454546,0.09672979797979796,11
BECN1,context_background,ipin_baseline,P_vs_U_concordance,0.7654671717171717,0.6764141414141415,0.08905303030303029,11
ERN1,context_background,ipin_baseline,average_precision,0.1835201267429823,0.0607829454398848,0.1227371813030975,11
TP53,context_background,ipin_baseline,average_precision,0.20341765982724921,0.061573006374332155,0.14184465345291708,11
EGFR,context_background,ipin_baseline,average_precision,0.1288022833736375,0.06106312285009456,0.0677391605235429,11
BCL2,context_background,ipin_baseline,average_precision,0.20390872756236014,0.04427280543134038,0.15963592213101976,11
KEAP1,context_background,ipin_baseline,average_precision,0.19636796577307944,0.05767208446475149,0.13869588130832797,11
BRCA1,context_background,ipin_baseline,average_precision,0.19490076822212232,0.05981128848549741,0.1350894797366249,11
KRAS,context_background,ipin_baseline,average_precision,0.19856729592802383,0.06095064029099342,0.13761665563703043,11
CDK2,context_background,ipin_baseline,average_precision,0.2063063575508316,0.06018301272085801,0.14612334482997358,11
HIF1A,context_background,ipin_baseline,average_precision,0.17617602074737485,0.060092033262021324,0.11608398748535352,11
CTNNB1,context_background,ipin_baseline,average_precision,0.2054165932570723,0.05234371056106904,0.15307288269600325,11
TNFRSF1A,context_background,ipin_baseline,average_precision,0.20627669477432795,0.060750715848644735,0.14552597892568325,11
BECN1,context_background,ipin_baseline,average_precision,0.17983129001761736,0.051209197718960535,0.12862209229865684,11
ERN1,context_background,ipin_optimized,P_vs_U_concordance,0.7718181818181818,0.742929292929293,0.028888888888888863,11
TP53,context_background,ipin_optimized,P_vs_U_concordance,0.7611237373737374,0.7454040404040403,0.015719696969696943,11
EGFR,context_background,ipin_optimized,P_vs_U_concordance,0.7466792929292929,0.7312626262626263,0.015416666666666634,11
BCL2,context_background,ipin_optimized,P_vs_U_concordance,0.7684974747474748,0.7004545454545454,0.06804292929292927,11
KEAP1,context_background,ipin_optimized,P_vs_U_concordance,0.7732449494949495,0.7309595959595959,0.0422853535353535,11
BRCA1,context_background,ipin_optimized,P_vs_U_concordance,0.7509217171717172,0.7109595959595959,0.03996212121212118,11
KRAS,context_background,ipin_optimized,P_vs_U_concordance,0.7519318181818182,0.7055050505050505,0.04642676767676765,11
CDK2,context_background,ipin_optimized,P_vs_U_concordance,0.7872853535353536,0.7093434343434344,0.07794191919191917,11
HIF1A,context_background,ipin_optimized,P_vs_U_concordance,0.7742550505050505,0.7295454545454544,0.044709595959595935,11
CTNNB1,context_background,ipin_optimized,P_vs_U_concordance,0.77375,0.7342929292929292,0.03945707070707068,11
TNFRSF1A,context_background,ipin_optimized,P_vs_U_concordance,0.7862752525252525,0.7197474747474747,0.06652777777777776,11
BECN1,context_background,ipin_optimized,P_vs_U_concordance,0.7654671717171717,0.7168181818181817,0.04864898989898987,11
ERN1,context_background,ipin_optimized,average_precision,0.1835201267429823,0.11728492944091234,0.06623519730206995,11
TP53,context_background,ipin_optimized,average_precision,0.20341765982724921,0.11858424984049067,0.08483340998675853,11
EGFR,context_background,ipin_optimized,average_precision,0.1288022833736375,0.11811465533885274,0.010687628034784723,11
