row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
22,0.6828725337982178,-8.218753814697266,-9.536531448364258,-7.978859901428223,-8.578048388163248
23,0.7773409485816956,-6.049386024475098,-7.842667579650879,-8.010518074035645,-7.300857226053874
24,0.7481327056884766,-6.099808692932129,-6.814147472381592,-10.42138957977295,-7.778448581695557
25,0.6991761922836304,-7.379550933837891,-6.510841369628906,-10.00062084197998,-7.963671048482259
26,0.6176654100418091,-8.604429244995117,-5.734988689422607,-8.202046394348145,-7.513821442921956
27,0.600214958190918,-6.910819053649902,-7.908614635467529,-13.474157333374023,-9.431197007497152
28,0.6262771487236023,-5.145759105682373,-6.146609306335449,-9.726428985595703,-7.006265799204509
29,0.6380963325500488,-9.327967643737793,-7.415477752685547,-9.035039901733398,-8.592828432718912
30,0.7286596894264221,-8.757064819335938,-5.231118202209473,-11.281250953674316,-8.423144658406576
31,0.7311602234840393,-5.827941417694092,-4.8752570152282715,-7.269690990447998,-5.990963141123454
32,0.7275397181510925,-11.044946670532227,-11.01212215423584,-9.942632675170898,-10.666567166646322
33,0.6233425140380859,-3.7301437854766846,-2.5644030570983887,-6.226284503936768,-4.17361044883728
34,0.6686314940452576,-5.994358062744141,-5.160697937011719,-7.698818683624268,-6.284624894460042
35,0.6557276248931885,-7.733059406280518,-5.200439453125,-9.082050323486328,-7.338516394297282
36,0.6264471411705017,-9.149147033691406,-5.277939319610596,-8.451727867126465,-7.626271406809489
37,0.5721760392189026,-6.060924053192139,-6.188024997711182,-7.388762950897217,-6.545904000600179
38,0.5450739860534668,-9.78253173828125,-8.458157539367676,-10.106207847595215,-9.448965708414713
39,0.55059814453125,-8.779308319091797,-7.626516819000244,-10.559922218322754,-8.988582452138266
40,0.6930866837501526,-7.670470714569092,-6.941453456878662,-9.461864471435547,-8.024596214294434
41,0.7085354924201965,-9.273313522338867,-7.454676151275635,-10.059781074523926,-8.929256916046143
42,0.7082763910293579,-8.20096492767334,-6.50294828414917,-7.326557636260986,-7.343490282694499
43,0.6646050214767456,-5.916894435882568,-5.815556049346924,-10.642822265625,-7.458424250284831
44,0.700320839881897,-8.680123329162598,-7.027843475341797,-10.16406536102295,-8.624010721842447
45,0.7246183156967163,-6.738100051879883,-6.62143087387085,-7.428085803985596,-6.929205576578776
46,0.7598296999931335,-6.835559844970703,-6.376075267791748,-9.744733810424805,-7.652122974395752
47,0.6532860994338989,-4.350443363189697,-5.206599235534668,-8.26158332824707,-5.9395419756571455
48,0.6092607975006104,-10.988630294799805,-8.704744338989258,-10.317313194274902,-10.003562609354654
49,0.7970573902130127,-5.8985676765441895,-5.434103965759277,-10.71141529083252,-7.348028977711995
50,0.6985945105552673,-9.325366020202637,-7.708622455596924,-12.352007865905762,-9.795332113901773
51,0.7866383790969849,-10.235503196716309,-8.5393705368042,-10.180290222167969,-9.651721318562826
52,0.6860869526863098,-8.384988784790039,-8.590152740478516,-6.992725372314453,-7.989288965861003
53,0.7337186336517334,-11.63730525970459,-11.116377830505371,-5.639894008636475,-9.464525699615479
54,0.5892758965492249,-8.18805980682373,-8.558238983154297,-11.886543273925781,-9.544280687967936
55,0.4771784245967865,-8.8545503616333,-11.088226318359375,-9.082683563232422,-9.675153414408365
56,0.4502491354942322,-11.70340347290039,-12.672012329101562,-5.487659931182861,-9.954358577728271
57,0.3557288348674774,-11.769518852233887,-8.513614654541016,-8.344991683959961,-9.542708396911621
58,0.44857504963874817,-13.005690574645996,-5.813657283782959,-12.039703369140625,-10.28635040918986
59,0.40997418761253357,-10.761000633239746,-13.517252922058105,-11.065040588378906,-11.781098047892252
60,0.7029245495796204,-3.609267473220825,-6.457947731018066,-9.068909645080566,-6.378708283106486
61,0.601634681224823,-13.329748153686523,-12.827256202697754,-9.764100074768066,-11.973701477050781
62,0.6870885491371155,-10.054736137390137,-12.910294532775879,-9.746110916137695,-10.903713862101236
63,0.3623143136501312,-12.186744689941406,-12.207169532775879,-12.1484956741333,-12.180803298950195
64,0.4706343710422516,-15.718801498413086,-14.612667083740234,-15.557741165161133,-15.296403249104818
65,0.273892879486084,-12.549878120422363,-10.049670219421387,-13.84195327758789,-12.147167205810547
66,0.7498414516448975,-8.178333282470703,-8.069591522216797,-11.007650375366211,-9.08519172668457
67,0.6280278563499451,-9.384414672851562,-8.240579605102539,-9.131282806396484,-8.918759028116861
68,0.3437260687351227,-10.088757514953613,-9.243917465209961,-9.520676612854004,-9.617783864339193
69,0.5642961263656616,-12.864543914794922,-9.672410011291504,-9.39306354522705,-10.643339157104492
70,0.42042502760887146,-9.505654335021973,-15.808838844299316,-9.745636940002441,-11.686710039774576
71,0.7006575465202332,-7.349892616271973,-9.44698715209961,-10.568817138671875,-9.121898969014486
72,0.3357933461666107,-11.890554428100586,-13.065964698791504,-10.628564834594727,-11.86169465382894
