row_index,ipin_baseline_score,ipin_optimized_score
425,-0.50588591893514,-0.056644817193349205
426,-1.73531969388326,-2.000688831011454
427,0.4800237814585368,0.9654163122177124
428,-1.3681799570719402,-2.1604159275690713
429,-1.2824268738428752,-1.43993212779363
430,-0.4805457691351573,0.04170655210812887
431,-1.3184120655059814,-1.8037134011586506
432,-1.94499405225118,-2.166717608769735
433,-1.7177878220876057,-1.3067235549290974
434,-1.0037550528844197,-0.0489386518796285
435,-0.4387316107749939,0.0818021794160207
436,-1.8681966066360474,-1.2349172234535217
437,-0.512079119682312,0.12587619200348854
438,-1.2116951147715251,-0.7091898719469706
439,-1.0707026521364849,-0.6049612363179525
440,-1.0275008877118428,-0.01042818029721578
441,-1.133501410484314,-1.2669212023417156
442,-3.0641635258992515,-2.033596913019816
443,-2.667506138483683,-1.2383998036384583
444,-1.0745191772778828,-0.3932220737139384
445,-1.7288780609766643,-0.20225186149279276
446,-1.6125301917394002,-0.32633183399836224
447,-0.9317671457926432,-0.851171463727951
448,-0.7120636701583862,-0.2840885917345683
449,-0.05058525875210762,-0.15540904800097147
450,-1.6878954966862996,-1.326343019803365
451,-0.07376236841082573,1.2137871980667114
452,-0.388169805208842,-0.15685415267944336
453,-0.2656848554809888,1.0461389621098836
454,-1.07369468609492,-2.0814141035079956
455,-2.7774957021077475,-1.7783653338750203
456,-2.313106139500936,-2.050406893094381
457,-2.404592275619507,-2.3724632263183594
458,-3.0963305632273355,-2.518129507700602
459,-2.1996611754099527,-0.6146193544069926
460,-3.4982169469197593,-4.57009220123291
461,-0.7071350614229838,-1.6291468143463135
462,-2.6065255800882974,-2.041778326034546
463,-2.6865766843159995,-1.4136093457539876
464,-0.4252345363299052,-0.7141879598299662
465,-2.6349616845448813,-2.074697176615397
466,-3.953963120778402,-3.857860565185547
467,-1.176068107287089,-0.07396580775578816
468,-2.3007569313049316,-1.7522446711858113
469,-0.7650221784909567,0.007169107596079509
470,-1.3073430061340332,-1.4273776809374492
471,-2.3350523312886557,-1.694406082232793
472,-2.888770898183187,-2.8947178522745767
473,-3.147213935852051,-3.8846251169840493
474,-2.8857396443684897,-2.70412814617157
475,-1.4719098806381226,-1.1106995145479839
476,-2.0198727448781333,-2.1105566024780273
477,-2.987952391306559,-2.605525573094686
478,-2.0784801642100015,-3.2093213399251304
479,-2.2098992665608725,-2.877239465713501
480,-2.4158491293589273,-2.336199998855591
481,-2.5403829415639243,-2.6656621297200522
482,-1.4502575794855754,0.13681258261203766
483,-1.1098336776097615,-0.4236791531244914
484,-1.8944297234217327,-1.8711936871210735
485,-1.6516158978144329,-2.13065767288208
486,-1.2059826056162517,-0.2216239074865977
487,-1.6943975289662678,-1.7227115631103516
488,-0.9970179796218872,0.2972750316063563
489,-1.8316524823506672,-0.9711777170499166
490,-1.1420909365018208,-0.6030804018179575
491,-1.9044719537099202,-0.3451397816340129
492,-4.245609124501546,-3.1055241425832114
493,-3.235089063644409,-2.620166222254435
494,-0.5472247203191122,0.3107003966967265
495,-1.9478585720062256,-0.3812099099159241
496,-0.4634607632954915,0.6323512693246206
497,-4.319391091664632,-4.5467813809712725
498,-1.3538862069447835,-0.6406903316577276
499,-1.9376275539398193,-1.156064550081889
500,-2.200954039891561,-0.5431529134511948
501,-1.5441898902257283,-0.6418927907943726
502,-1.9119709730148315,-2.048866033554077
503,-1.4123570521672566,-0.9604372580846151
504,-3.8125669956207275,-2.8963514963785806
505,-2.0818623304367065,-1.835892120997111
506,-1.4508787393569946,-1.5155473152796428
507,-1.8921808401743572,-2.442813277244568
508,-1.8515004714330037,-1.4503039717674255
509,-0.20322038978338242,0.6047422786553701
510,-0.7185646494229635,0.5270898739496866
511,-1.9972503582636516,-1.9372764825820923
512,-1.8648366530736287,-0.0941428542137146
513,-1.706020752588908,-1.3771320184071858
514,-1.2877010504404705,-0.4863806366920471
515,-1.1367265184720357,-1.9182453950246174
516,-2.3497066497802734,-2.887648026148478
517,-1.8765275875727336,-1.4195139805475872
518,-1.7015503247578938,-0.5650411248207092
519,-1.4059254725774128,-1.38752019405365
520,-2.6190431912740073,-2.59302294254303
521,-2.107549031575521,-1.4120801289876301
522,-2.3189098834991455,-0.27529635032018024
523,-1.4351341724395752,-1.7302107016245525
524,-1.9715112845102947,-1.3265939156214397
