target,model,group,n,mean,sd,q25,median,q75,min,max
HIF1A,tuna_retrained,low_plausibility,150,-10.15343739827474,1.376943345935125,-11.145071585973103,-10.207516988118488,-9.401271422704061,-13.60407288869222,-6.363978385925293
HIF1A,tuna_original,P,3,0.5502820312976837,0.12031739036650094,0.48376570641994476,0.518450140953064,0.6008824110031128,0.44908127188682556,0.6833146810531616
HIF1A,tuna_original,context,150,0.5055116800467173,0.08766503657738799,0.4528661295771599,0.5130496323108673,0.5670708119869232,0.2517225742340088,0.6557131409645081
HIF1A,tuna_original,background,150,0.4097528710961342,0.11329122550779382,0.3177594467997551,0.4148905575275421,0.49375857412815094,0.15378360450267792,0.6443087458610535
HIF1A,tuna_original,low_plausibility,150,0.35301915645599363,0.07771460222760615,0.29917021095752716,0.3425798863172531,0.40132638812065125,0.2000262439250946,0.584000289440155
CTNNB1,ipin_baseline,P,3,-0.2379423545466529,0.6434769863725542,-0.6091967423756918,-0.585255761941274,-0.04034467041492462,-0.6331377228101095,0.5045664211114248
CTNNB1,ipin_baseline,context,150,-1.373332889491899,0.9997312494064792,-2.0005936920642853,-1.3074584007263184,-0.747736359635989,-4.630036354064941,2.114846706390381
CTNNB1,ipin_baseline,background,150,-1.470082785308154,0.8636901917208708,-1.9838445683320363,-1.4128129879633584,-0.9412673314412434,-3.55574099222819,0.9900305072466532
CTNNB1,ipin_baseline,low_plausibility,150,-1.8903062794937031,0.9218144526387582,-2.568008561929067,-1.9387905597686768,-1.120501309633255,-4.147327740987142,0.05239509791135788
CTNNB1,ipin_optimized,P,3,-0.21456515623463523,0.5216173122717589,-0.4494895910223325,-0.1231214702129364,0.06608112156391144,-0.7758577118317286,0.2552837133407593
CTNNB1,ipin_optimized,context,150,-0.5460438808343477,1.1974114719390043,-1.4329164028167725,-0.46231335401535034,0.40587102870146435,-3.7565671602884927,2.5382374922434487
CTNNB1,ipin_optimized,background,150,-0.5860176054636638,1.0720008088278667,-1.1465562283992767,-0.6513729989528656,0.13175455729166666,-3.1544803778330484,1.7140170335769653
CTNNB1,ipin_optimized,low_plausibility,150,-1.0878277586979996,0.9437130371816059,-1.7695447156826656,-1.1521170337994893,-0.44843940685192746,-4.177687247594197,1.175108144680659
CTNNB1,tuna_retrained,P,3,-6.24484912554423,1.7902067336320269,-7.250008185704549,-6.833107789357503,-5.533819397290547,-7.666908582051595,-4.234531005223592
CTNNB1,tuna_retrained,context,150,-7.369210022555456,2.470926015180732,-8.858327587445576,-7.039702494939169,-5.611873467763265,-13.142515500386557,-3.0307177702585855
CTNNB1,tuna_retrained,background,150,-7.4636825956238635,2.2102636710728567,-8.56355905532837,-7.060350020726522,-5.903649171193441,-14.118956247965494,-3.4051819245020547
CTNNB1,tuna_retrained,low_plausibility,150,-8.416739798121982,1.7586973734055336,-9.55728832880656,-8.431471427281698,-7.34668763478597,-12.892247200012207,-3.787008762359619
CTNNB1,tuna_original,P,3,0.5520933071772257,0.05259998703868438,0.5275192558765411,0.5584240555763245,0.5798327326774597,0.4966144561767578,0.601241409778595
CTNNB1,tuna_original,context,150,0.50098091284434,0.08791687610156804,0.4480740502476692,0.503712385892868,0.5577621906995773,0.2863169312477112,0.7248353958129883
CTNNB1,tuna_original,background,150,0.4978088643153509,0.08938187320513456,0.46085088700056076,0.5035961866378784,0.5612672716379166,0.15426963567733765,0.6626538038253784
CTNNB1,tuna_original,low_plausibility,150,0.49401405215263366,0.08814012178535059,0.4406520128250122,0.50904181599617,0.562132328748703,0.20911091566085815,0.6692246794700623
TNFRSF1A,ipin_baseline,P,3,-1.684484991762373,1.0837930017647175,-2.1525343855222068,-1.4332315524419148,-1.0908088783423104,-2.8718372186024985,-0.7483862042427063
TNFRSF1A,ipin_baseline,context,150,-1.8914776198628047,1.0095958050835996,-2.6570589145024615,-1.838913897673289,-1.207455813884735,-4.4192460378011065,0.4543956220149994
TNFRSF1A,ipin_baseline,background,150,-2.1349058904250464,1.0391086235398777,-2.8011807203292847,-2.1374275485674543,-1.4996808966000876,-5.19072421391805,0.5596173504988352
TNFRSF1A,ipin_baseline,low_plausibility,150,-2.40439407568218,1.032840747449707,-2.928481082121531,-2.420614719390869,-1.8024125794569652,-5.887491861979167,0.5033040543397268
