target,model,K,P,panel_size,recovered_P,recall,target_success
EGFR,ipin_optimized,33,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,34,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,35,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,36,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,37,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,38,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,39,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,40,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,41,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,42,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,43,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,44,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,45,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,46,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,47,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,48,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,49,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,50,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,1,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,2,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,3,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,4,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,5,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,6,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,7,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,8,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,9,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,10,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,11,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,12,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,13,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,14,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,15,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,16,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,17,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,18,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,19,3,303,0.0,0.0,0.0
EGFR,tuna_retrained,20,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,21,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,22,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,23,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,24,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,25,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,26,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,27,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,28,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,29,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,30,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,31,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,32,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,33,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,34,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,35,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,36,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,37,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,38,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,39,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,40,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,41,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,42,3,303,1.0,0.3333333333333333,1.0
EGFR,tuna_retrained,43,3,303,1.0,0.3333333333333333,1.0
