row_index,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
111,-11.689986228942871,-7.570494651794434,-9.457554817199707,-9.572678565979004
112,-11.598286628723145,-8.658870697021484,-9.252142906188965,-9.836433410644531
113,-12.603837013244629,-8.375432968139648,-10.160637855529785,-10.379969278971354
114,-11.688931465148926,-11.813015937805176,-10.716827392578125,-11.406258265177408
115,-10.175753593444824,-9.913236618041992,-10.717000007629395,-10.26866340637207
116,-9.947720527648926,-8.324482917785645,-10.968582153320312,-9.746928532918295
117,-8.05406379699707,-6.233054161071777,-11.589734077453613,-8.625617345174154
118,-10.703207015991211,-9.368914604187012,-10.56466007232666,-10.212260564168295
119,-12.565993309020996,-10.407135009765625,-10.887114524841309,-11.286747614542643
120,-7.713248252868652,-6.358700752258301,-9.217803001403809,-7.763250668843587
121,-9.995620727539062,-10.375801086425781,-9.773955345153809,-10.04845905303955
122,-8.492364883422852,-10.289185523986816,-10.049038887023926,-9.610196431477865
123,-9.208459854125977,-9.586477279663086,-9.402377128601074,-9.399104754130045
124,-8.843557357788086,-6.655055046081543,-8.189051628112793,-7.895888010660808
125,-14.5640869140625,-16.234256744384766,-14.626587867736816,-15.141643842061361
126,-8.930551528930664,-5.800784587860107,-8.884597778320312,-7.871977965037028
127,-9.04450798034668,-13.656862258911133,-11.390013694763184,-11.363794644673666
128,-7.667651176452637,-10.383796691894531,-8.72634220123291,-8.92593002319336
129,-7.341434001922607,-7.58662748336792,-11.966358184814453,-8.96480655670166
130,-8.198958396911621,-9.371726036071777,-8.296398162841797,-8.622360865275065
131,-11.806894302368164,-9.690095901489258,-10.319672584533691,-10.605554262797037
132,-13.88634204864502,-11.915301322937012,-13.129976272583008,-12.977206548055014
133,-8.545504570007324,-6.415574073791504,-11.568745613098145,-8.84327475229899
134,-9.57016372680664,-12.794158935546875,-13.3657865524292,-11.910036404927572
135,-14.38318920135498,-13.143392562866211,-14.357683181762695,-13.961421648661295
136,-8.227753639221191,-9.44893741607666,-10.1925630569458,-9.289751370747885
137,-9.42304801940918,-8.766100883483887,-10.499590873718262,-9.562913258870443
138,-12.393112182617188,-8.471552848815918,-12.830265998840332,-11.231643676757812
139,-11.57248592376709,-7.915217399597168,-9.20363712310791,-9.563780148824057
140,-11.331223487854004,-10.477715492248535,-8.974540710449219,-10.261159896850586
141,-10.174166679382324,-8.195802688598633,-7.574390411376953,-8.648119926452637
142,-5.469215393066406,-8.846763610839844,-6.709367752075195,-7.0084489186604815
143,-10.857234001159668,-6.2027082443237305,-11.328007698059082,-9.462649981180826
