cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,ipin_baseline,ipin_tuna_31k,0.07448494453248805,0.026095862567773697,0.11669476186894075,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,ipin_optimized,tuna_retrained,0.020602218700475405,-0.030795415079248156,0.06807149670088784,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,ipin_optimized,ipin_tuna_31k,0.011093502377178988,-0.04101871538765822,0.056063990044537625,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,tuna_retrained,ipin_tuna_31k,-0.009508716323296418,-0.05729218132411074,0.03652983483789645,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,ipin_baseline,ipin_optimized,0.04952170148283186,-0.0015120589040780298,0.10134542293071497,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,ipin_baseline,tuna_retrained,0.07601722867187977,0.021038733642168093,0.1297388807937687,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,ipin_baseline,ipin_tuna_31k,0.03888568002123549,-0.02325834876958273,0.10164147600293805,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,ipin_optimized,tuna_retrained,0.026495527189047907,-0.025595406372292184,0.07838798396275123,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,ipin_optimized,ipin_tuna_31k,-0.010636021461596368,-0.0706550616161343,0.05122752730200947,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_10,tuna_retrained,ipin_tuna_31k,-0.037131548650644275,-0.09100422862072582,0.015406748088084812,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,ipin_baseline,ipin_optimized,0.033280507131537296,-0.0015024255024254133,0.06574923547400613,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,ipin_baseline,tuna_retrained,0.05229793977813002,0.005719324514765275,0.09736105459861054,277,631
