cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,first_positive_rank_expected,8.50531914893617,6.914215984269795,10.263252325618824,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,first_positive_rank_expected,8.618794326241135,7.5403380473096355,9.612928135508781,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,first_positive_rank_expected,8.88077148686905,7.890548824481753,9.929280737329519,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,first_positive_rank_expected,8.351470954519735,7.21831520416124,9.544369667990093,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,first_positive_rank_expected,7.362928140062286,6.361910569387704,8.422797080403788,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,first_positive_rank_expected,8.097180597180598,7.073389425615035,9.141207260445062,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_5,0.4450354609929078,0.3925340377971957,0.5056818181818182,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_5,0.5372340425531915,0.47527910685805425,0.6056345699469146,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_5,0.5407801418439716,0.4734021954077709,0.6100397456279809,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_5,0.5053191489361702,0.46006389776357826,0.5551403587135789,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_5,0.4973839958596056,0.4422273035230353,0.5515023363041655,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_5,0.5861396394932981,0.5305938415694513,0.640120351080717,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,recall_at_5,0.6025317726537239,0.5464870828133024,0.6581598942498332,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,recall_at_5,0.5248664163298309,0.46899547973480904,0.5801819369654735,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_10,0.6524822695035462,0.6003158329218047,0.709302956162034,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_10,0.6879432624113475,0.6339430562158308,0.7448564357827836,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_10,0.723404255319149,0.6541107126253569,0.7894760507383567,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_10,0.7145390070921985,0.6648110487898274,0.7665573740455981,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_10,0.6797718880035953,0.6287106183676305,0.7301961729553192,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_10,0.7123947303825352,0.6610482082280863,0.7623010483757434,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,recall_at_10,0.767924949937145,0.7193424729628998,0.8135749655719168,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,recall_at_10,0.7467513967513968,0.697818901683231,0.7948248138492041,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_20,0.8559670781893004,0.807621965676744,0.9052637375376769,223,486,486,16212
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_20,0.8600823045267489,0.8185696210421342,0.9026557833599003,223,486,486,16212
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_20,0.8580246913580247,0.8012914776836713,0.911205320977653,223,486,486,16212
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_20,0.8827160493827161,0.8507453844521469,0.9200024213075061,223,486,486,16212
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_20,0.8785447362801622,0.8392269467577764,0.9152225247348565,223,486,486,16212
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_20,0.8659475925170992,0.8245389715541059,0.9051995855415138,223,486,486,16212
