species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
fly,all,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,30,0,20
fly,all,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,26,15,9
fly,all,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,all,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,31,0,19
fly,all,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,18,23,9
fly,all,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
fly,all,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,24,0,26
fly,all,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,15,22,13
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,29,0,21
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,31,0,19
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,14,31,5
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,30,0,20
fly,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,24,12
fly,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,27,0,23
fly,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,1,23
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,22,19,9
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,28,0,22
fly,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,16,18,16
fly,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,28,0,22
fly,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,13,29,8
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,30,0,20
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,26,15,9
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,31,0,19
fly,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,18,23,9
fly,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
fly,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,24,0,26
fly,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,15,22,13
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,29,0,21
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,31,0,19
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,14,31,5
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,30,0,20
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,24,12
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,27,0,23
fly,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,2,22
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,22,19,9
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,28,0,22
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,16,18,16
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,28,0,22
fly,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,13,29,8
fly,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
fly,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,30,0,20
fly,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,26,15,9
