row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
297,-6.9478864669799805,-6.2925639152526855,-5.336812496185303,-6.192420959472656
298,-5.105051517486572,-6.634493350982666,-4.653109073638916,-5.464217980702718
299,-5.066963195800781,-6.721567153930664,-4.350975036621094,-5.37983512878418
300,-3.0355966091156006,-5.8577494621276855,-4.696127414703369,-4.529824495315552
301,-5.859289169311523,-4.976522922515869,-6.609294891357422,-5.8150356610616045
302,-5.388209342956543,-4.258480072021484,-5.011381149291992,-4.88602352142334
303,-6.831099987030029,-4.8316144943237305,-7.360091686248779,-6.340935389200847
304,-5.64293098449707,-4.157985687255859,-5.315100193023682,-5.03867228825887
305,-6.969011306762695,-7.702221393585205,-6.385509490966797,-7.0189140637715655
306,-3.9181137084960938,-4.360279083251953,-2.4713993072509766,-3.5832640329996743
307,-4.563467502593994,-5.052613258361816,-5.508522987365723,-5.041534582773845
308,-6.501532554626465,-7.392174243927002,-6.13449764251709,-6.676068147023519
309,-5.544558525085449,-6.264671802520752,-6.971923351287842,-6.260384559631348
310,-6.376088619232178,-5.885002136230469,-7.631180763244629,-6.630757172902425
311,-7.577030658721924,-7.3205742835998535,-7.019078254699707,-7.305561065673828
312,-5.334644317626953,-6.462062835693359,-6.618682861328125,-6.1384633382161455
313,-4.754562854766846,-6.2851691246032715,-5.308372974395752,-5.449368317921956
314,-4.178565502166748,-3.5413818359375,-5.834382057189941,-4.5181097984313965
315,-6.934490203857422,-8.43591022491455,-5.921848773956299,-7.097416400909424
316,-5.393527507781982,-5.701254367828369,-5.928869724273682,-5.674550533294678
317,-5.374936103820801,-5.660322666168213,-5.401954174041748,-5.479070981343587
